Energy type,Sector,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Heat,Domestic,1.05,1.01,1,1,0.98,0.97,0.93,0.9,0.9,0.91,0.9
Heat,Non-domestic,1.07,1.05,1,1.03,1.1,1.13,1.13,1.19,1.3,1.29,1.38
NHE,Domestic,0.86,0.95,1,1.03,1.02,1.09,1.1,1.07,1.05,1.09,1.15
NHE,Non-domestic,1.01,1.02,1,1.02,1.04,1.06,1.1,1.13,1.16,1.22,1.28
